,log2FC,log2CPM,PValue,FDR,level,otu,neglogp,tax
Gp1,-2.41,9.967,0.010062881,0.036105122,Depleted,Gp1,1.997277663,Acidobacteria
Gp10,1.988,15.195,0.497148565,0.716536538,NotSig,Gp10,0.30351381,Acidobacteria
Gp13,-1.794,13.873,0.137836096,0.277813713,NotSig,Gp13,0.860637036,Acidobacteria
Gp14,0.725,11.774,0.174880423,0.340921261,NotSig,Gp14,0.757258805,Acidobacteria
Gp16,-0.308,13.667,0.075368842,0.175450796,NotSig,Gp16,1.122808157,Acidobacteria
Gp17,1.165,12.287,0.025526137,0.074490383,Enriched,Gp17,1.593014904,Acidobacteria
Gp20,14.025,8.967,0.028381934,0.07941539,Enriched,Gp20,1.546958014,Acidobacteria
Gp21,13.609,9.965,0.123234059,0.253841383,NotSig,Gp21,0.909269247,Acidobacteria
Gp22,1.931,11.288,0.216286074,0.403451277,NotSig,Gp22,0.664971443,Acidobacteria
Gp23,2.422,9.966,0.05015885,0.130376465,NotSig,Gp23,1.299652429,Acidobacteria
Gp25,-16.579,10.966,9.88E-05,0.000780172,Depleted,Gp25,4.005243055,Acidobacteria
Gp26,2.253,11.966,0.820780608,1,NotSig,Gp26,0.085772913,Acidobacteria
Candidatus_Solibacter,1.252,8.966,0.468099465,0.682306371,NotSig,Candidatus_Solibacter,0.329661855,Acidobacteria
Paludibaculum,0.39,10.549,0.905763325,1,NotSig,Paludibaculum,0.042985268,Acidobacteria
Bryobacter,3.603,12.288,0.00074669,0.004245128,Enriched,Bryobacter,3.126859665,Acidobacteria
Gp3,3.15,15.68,0.000318021,0.002091319,Enriched,Gp3,3.497544201,Acidobacteria
Gp4,3.284,15.638,0.007783076,0.029460077,Enriched,Gp4,2.108848729,Acidobacteria
Aridibacter,2.957,13.609,1.86E-06,2.46E-05,Enriched,Aridibacter,5.730487056,Acidobacteria
Blastocatella,3.863,16.105,3.36E-06,4.06E-05,Enriched,Blastocatella,5.473660723,Acidobacteria
Gp5,1.17,11.288,0.845578998,1,NotSig,Gp5,0.072845812,Acidobacteria
Gp6,0.743,13.288,0.774770323,1,NotSig,Gp6,0.110827023,Acidobacteria
Gp7,0.325,14.288,0.706884321,0.965286054,NotSig,Gp7,0.150651651,Acidobacteria
Gp9,-0.351,13.873,0.093936234,0.212099693,NotSig,Gp9,1.027166855,Acidobacteria
Geothrix,2.117,13.72,0.370627298,0.567473341,NotSig,Geothrix,0.431062597,Acidobacteria
Ilumatobacter,-2.465,15.954,0.000298022,0.001968877,Depleted,Ilumatobacter,3.525751675,Actinobacteria
Ferrimicrobium,-0.484,12.136,0.918126163,1,NotSig,Ferrimicrobium,0.037097637,Actinobacteria
Acidimicrobium,-3.379,12.287,0.003706846,0.015837335,Depleted,Acidimicrobium,2.430995456,Actinobacteria
Aciditerrimonas,-3.103,13.721,0.01311178,0.044869327,Depleted,Aciditerrimonas,1.882338346,Actinobacteria
Aquihabitans,0.343,12.288,0.680601264,0.933863465,NotSig,Aquihabitans,0.167107249,Actinobacteria
Iamia,0.776,12.551,0.373429011,0.571150266,NotSig,Iamia,0.427791946,Actinobacteria
Acidothermus,-4.328,13.425,3.35E-20,2.81E-18,Depleted,Acidothermus,19.47495519,Actinobacteria
Trueperella,-18.057,11.551,3.84E-11,1.19E-09,Depleted,Trueperella,10.41566878,Actinobacteria
Brevibacterium,14.024,10.55,0.123234059,0.253841383,NotSig,Brevibacterium,0.909269247,Actinobacteria
Paraoerskovia,12.026,8.967,0.278364334,0.460818914,NotSig,Paraoerskovia,0.55538641,Actinobacteria
Actinotalea,-2.062,16.242,0.220090126,0.409169161,NotSig,Actinotalea,0.657399441,Actinobacteria
Cellulomonas,1.178,13.214,0.022803546,0.068362732,Enriched,Cellulomonas,1.641997614,Actinobacteria
