ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Polynucleobacter	-5.898	17.367	1.88E-41	2.69E-38	Depleted	0.044	2.633
Streptomyces	-5.366	16.315	3.33E-33	2.37E-30	Depleted	0.044	1.804
Fluviicola	-3.836	16.085	7.91E-33	2.96E-30	Depleted	0.133	1.893
Salinirepens	-5.907	16.528	8.30E-33	2.96E-30	Depleted	0.032	1.9
Rhodoluna	-5.458	16.602	2.71E-29	7.75E-27	Depleted	0.04	1.777
Gryllotalpicola	-7.705	15.999	4.06E-28	9.65E-26	Depleted	0.001	0.261
Corynebacterium	-4.03	14.25	1.04E-27	2.11E-25	Depleted	0.012	0.204
Pseudarcicella	-6.671	17.617	1.49E-27	2.66E-25	Depleted	0.027	2.759
Demequina	-7.016	17.58	1.70E-27	2.70E-25	Depleted	0.036	4.692
Agromyces	-6.296	14.966	2.59E-27	3.69E-25	Depleted	0.011	0.851
Sediminibacterium	-3.26	17.053	6.46E-27	8.38E-25	Depleted	0.32	3.067
Limnohabitans	-2.235	17.926	1.03E-26	1.22E-24	Depleted	1.221	5.747
Marinoscillum	-5.502	17.944	6.16E-25	6.76E-23	Depleted	0.061	2.774
Algoriphagus	-3.469	16.921	1.26E-23	1.28E-21	Depleted	0.18	1.994
Rhizobium	4.602	18.012	2.05E-23	1.95E-21	Enriched	0.892	0.037
Noviherbaspirillum	-3.543	15.565	1.33E-22	1.19E-20	Depleted	0.039	0.452
Acidothermus	-4.328	13.425	3.35E-20	2.81E-18	Depleted	0.007	0.134
Eoetvoesia	-4.939	12.967	5.04E-20	4.00E-18	Depleted	0.003	0.09
Cerasicoccus	-7.406	17.022	3.33E-19	2.50E-17	Depleted	0.008	1.342
Ponticaulis	-7.874	18.372	5.41E-19	3.86E-17	Depleted	0.008	1.857
Undibacterium	-2.234	17.624	1.25E-18	8.50E-17	Depleted	0.205	0.964
Glaciihabitans	-5.892	12.667	6.46E-18	4.19E-16	Depleted	0.002	0.099
Solitalea	-1.922	15.707	1.68E-17	1.04E-15	Depleted	0.182	0.688
