,log2FC,log2CPM,PValue,FDR,level,otu,neglogp,tax
Edaphobacter,19.958,15.391,0.001435526,0.005612381,Enriched,Edaphobacter,2.842988937,Acidobacteria
Gp1,20.38,14.72,0.001435542,0.005612381,Enriched,Gp1,2.842984097,Acidobacteria
Gp10,4.453,16.909,0.000499444,0.002220272,Enriched,Gp10,3.3015132,Acidobacteria
Gp11,15.51,13.666,0.349472314,0.564270173,NotSig,Gp11,0.456587224,Acidobacteria
Gp13,4.838,14.848,0.804836725,1,NotSig,Gp13,0.094292215,Acidobacteria
Gp15,3.173,11.773,0.014709871,0.044661671,Enriched,Gp15,1.832391136,Acidobacteria
Gp16,0.673,12.424,0.089138655,0.204360888,NotSig,Gp16,1.049933923,Acidobacteria
Gp17,-0.448,10.966,0.401127176,0.636009423,NotSig,Gp17,0.396717914,Acidobacteria
Gp18,5.19,14.391,0.005014815,0.016719955,Enriched,Gp18,2.299745084,Acidobacteria
Gp20,14.025,10.966,0.102636146,0.227272591,NotSig,Gp20,0.988699664,Acidobacteria
Gp22,2.623,14.92,3.33E-07,2.65E-06,Enriched,Gp22,6.477555766,Acidobacteria
Thermoanaerobaculum,6.246,13.873,0.000994093,0.00404151,Enriched,Thermoanaerobaculum,3.002572984,Acidobacteria
Gp23,0.048,12.425,0.181009204,0.343544328,NotSig,Gp23,0.742299341,Acidobacteria
Gp26,-3.906,12.287,0.001957319,0.007339381,Depleted,Gp26,2.708338388,Acidobacteria
Paludibaculum,11.703,8.966,0.349471017,0.564270173,NotSig,Paludibaculum,0.456588836,Acidobacteria
Bryobacter,5.838,14.01,0.260649027,0.451390973,NotSig,Bryobacter,0.583943892,Acidobacteria
Gp3,3.893,13.49,0.00116124,0.004641709,Enriched,Gp3,2.935078013,Acidobacteria
Gp4,16.79,12.667,0.000649639,0.002809195,Enriched,Gp4,3.187327911,Acidobacteria
Aridibacter,6.596,15.136,1.81E-05,0.000108563,Enriched,Aridibacter,4.742321425,Acidobacteria
Blastocatella,4.633,16.824,0.000109676,0.000571198,Enriched,Blastocatella,3.959888397,Acidobacteria
Gp5,10.702,8.964,0.510345526,0.737855184,NotSig,Gp5,0.292135688,Acidobacteria
Gp6,2.096,13.214,0.000456131,0.002059606,Enriched,Gp6,3.340910411,Acidobacteria
Gp7,3.497,11.773,0.000325799,0.001514382,Enriched,Gp7,3.487050253,Acidobacteria
Gp9,-0.4,12.965,0.14470473,0.290019172,NotSig,Gp9,0.839517273,Acidobacteria
Acanthopleuribacter,3.86,14.424,0.022713135,0.065214576,Enriched,Acanthopleuribacter,1.643722918,Acidobacteria
Geothrix,11.703,8.966,0.349472314,0.564270173,NotSig,Geothrix,0.456587224,Acidobacteria
Ilumatobacter,-1.769,17.279,3.21E-10,3.75E-09,Depleted,Ilumatobacter,9.493494968,Actinobacteria
Ferrithrix,5.098,14.799,6.46E-06,4.15E-05,Enriched,Ferrithrix,5.189767482,Actinobacteria
Ferrimicrobium,3.105,14.58,2.09E-06,1.47E-05,Enriched,Ferrimicrobium,5.679853714,Actinobacteria
Acidimicrobium,-3.718,13.288,0.000157668,0.000795027,Depleted,Acidimicrobium,3.802256441,Actinobacteria
Aciditerrimonas,-4.156,17.349,1.31E-09,1.41E-08,Depleted,Aciditerrimonas,8.882728704,Actinobacteria
Aquihabitans,3.217,16.653,2.79E-05,0.000162781,Enriched,Aquihabitans,4.554395797,Actinobacteria
Iamia,0.491,11.551,0.984391969,1,NotSig,Iamia,0.006831938,Actinobacteria
Acidothermus,-4.728,12.288,5.83E-08,5.01E-07,Depleted,Acidothermus,7.234331445,Actinobacteria
Trueperella,-14.887,10.551,0.000205434,0.000997376,Depleted,Trueperella,3.687327678,Actinobacteria
Brevibacterium,7.111,15.566,0.010581978,0.033042633,Enriched,Brevibacterium,1.975433146,Actinobacteria
Paraoerskovia,-0.727,16.242,4.19E-06,2.78E-05,Depleted,Paraoerskovia,5.377785977,Actinobacteria
Actinotalea,-1.447,10.551,0.470870253,0.727198974,NotSig,Actinotalea,0.327098745,Actinobacteria
Cellulomonas,12.287,10.55,0.510345526,0.737855184,NotSig,Cellulomonas,0.292135688,Actinobacteria
Corynebacterium,-1.957,15.58,0.830739574,1,NotSig,Corynebacterium,0.080535101,Actinobacteria
Jatrophihabitans,10.704,8.966,0.510345526,0.737855184,NotSig,Jatrophihabitans,0.292135688,Actinobacteria
Fodinicola,3.241,14.61,0.009118351,0.028723812,Enriched,Fodinicola,2.040083694,Actinobacteria
Demequina,-2.831,13.92,0.00066282,0.002857536,Depleted,Demequina,3.178604396,Actinobacteria
Lysinimicrobium,-15.694,9.966,1.47E-06,1.05E-05,Depleted,Lysinimicrobium,5.832682665,Actinobacteria
Brachybacterium,14.951,11.773,0.058799017,0.143429818,NotSig,Brachybacterium,1.230629934,Actinobacteria
Dietzia,2.208,10.551,0.050506121,0.126887737,NotSig,Dietzia,1.296655985,Actinobacteria
Blastococcus,14.162,9.967,0.058797464,0.143429818,NotSig,Blastococcus,1.230641405,Actinobacteria
Modestobacter,14.288,12.136,0.250691578,0.435733108,NotSig,Modestobacter,0.600860256,Actinobacteria
Geodermatophilus,1.985,11.288,0.458823908,0.714909025,NotSig,Geodermatophilus,0.33835396,Actinobacteria
Stackebrandtia,1.189,14.52,0.667550957,0.895848309,NotSig,Stackebrandtia,0.175515577,Actinobacteria
Ornithinibacter,3.781,15.638,0.605507504,0.830028058,NotSig,Ornithinibacter,0.21788047,Actinobacteria
Terrabacter,-4.394,14.666,8.68E-05,0.00045529,Depleted,Terrabacter,4.061480275,Actinobacteria
Tetrasphaera,-4.698,13.824,6.24E-15,1.24E-13,Depleted,Tetrasphaera,14.20481541,Actinobacteria
Ornithinimicrobium,19.159,15.861,0.044763804,0.114271822,Enriched,Ornithinimicrobium,1.349073015,Actinobacteria
Serinicoccus,13.873,9.966,0.077504832,0.181311563,NotSig,Serinicoccus,1.110671221,Actinobacteria
Kineococcus,-2.184,11.773,0.125519182,0.268139419,NotSig,Kineococcus,0.9012899,Actinobacteria
Kineosporia,11.702,8.965,0.349471017,0.564270173,NotSig,Kineosporia,0.456588836,Actinobacteria
Rhodoluna,-5.3,16.873,2.63E-18,6.82E-17,Depleted,Rhodoluna,17.58004425,Actinobacteria
Agromyces,-3.087,12.966,6.35E-06,4.10E-05,Depleted,Agromyces,5.197226275,Actinobacteria
Agrococcus,-2.421,13.358,0.004538144,0.015642346,Depleted,Agrococcus,2.343121728,Actinobacteria
Microbacterium,2.641,13.824,0.014034866,0.042794347,Enriched,Microbacterium,1.85279173,Actinobacteria
Leifsonia,0.49,14.897,0.667962579,0.895848309,NotSig,Leifsonia,0.175247867,Actinobacteria
Mycetocola,-5.569,15.68,6.08E-13,9.97E-12,Depleted,Mycetocola,12.21609642,Actinobacteria
Gryllotalpicola,-5.506,13.721,3.43E-06,2.33E-05,Depleted,Gryllotalpicola,5.46470588,Actinobacteria
Microcella,6.045,13.135,0.001265209,0.005015149,Enriched,Microcella,2.897837727,Actinobacteria
Pseudoclavibacter,1.945,12.136,0.505676593,0.737855184,NotSig,Pseudoclavibacter,0.296127149,Actinobacteria
Schumannella,14.95,12.55,0.136781942,0.277650696,NotSig,Schumannella,0.863971235,Actinobacteria
Lysinimonas,12.288,8.966,0.250690725,0.435733108,NotSig,Lysinimonas,0.600861734,Actinobacteria
Herbiconiux,12.288,9.966,0.349472314,0.564270173,NotSig,Herbiconiux,0.456587224,Actinobacteria
Amnibacterium,-12.887,8.966,0.03309513,0.089833299,Depleted,Amnibacterium,1.480235909,Actinobacteria
Arthrobacter,-1.764,16.747,0.07617646,0.179675716,NotSig,Arthrobacter,1.118179213,Actinobacteria
Kocuria,15.288,12.873,0.044761205,0.114271822,Enriched,Kocuria,1.349098231,Actinobacteria
Micrococcus,16.79,11.551,0.000131037,0.000671728,Enriched,Micrococcus,3.882606058,Actinobacteria
Luteimicrobium,-11.888,8.966,0.13295989,0.275375564,NotSig,Luteimicrobium,0.876279353,Actinobacteria
Salinispora,20.749,15.195,0.001435542,0.005612381,Enriched,Salinispora,2.842984097,Actinobacteria
