ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Subsaxibacter	-4.747	15.824	1.26E-63	1.80E-60	Depleted	0.051	1.365
Siansivirga	-5.037	16.043	2.96E-63	2.11E-60	Depleted	0.031	1.024
Aquibacter	-4.322	16.409	1.59E-61	7.54E-59	Depleted	0.071	1.411
Gelidibacter	-5.229	17.536	9.94E-61	3.54E-58	Depleted	0.029	1.101
Puniceicoccus	-9.812	15.666	4.11E-57	1.17E-54	Depleted	0.001	0.6
Azotobacter	-5.269	16.27	1.55E-53	3.68E-51	Depleted	0.034	1.324
Candidatus_Pelagibacter	-4.602	19.213	3.99E-53	8.12E-51	Depleted	0.406	9.851
Euzebya	-8.349	16.26	6.81E-52	1.22E-49	Depleted	0.004	1.304
Phaeocystidibacter	-6.414	17.279	2.86E-51	4.53E-49	Depleted	0.015	1.25
Flavivirga	-6.856	13.921	1.28E-50	1.83E-48	Depleted	0.002	0.213
Thalassobaculum	-3.674	14.848	6.40E-48	8.31E-46	Depleted	0.044	0.566
Chishuiella	-3.269	15.666	4.41E-43	5.25E-41	Depleted	0.027	0.259
Nisaea	-3.033	15.536	7.75E-43	8.50E-41	Depleted	0.145	1.184
Marinimicrobia_genera_incertae_sedis	-8.877	14.357	2.05E-40	2.09E-38	Depleted	0	0.157
Niabella	-5.648	14.135	6.01E-39	5.72E-37	Depleted	0.006	0.284
Oceanobacter	-5.734	13.287	3.65E-37	3.25E-35	Depleted	0.003	0.169
Filimonas	-3.853	13.053	7.23E-36	6.07E-34	Depleted	0.005	0.067
Algibacter	-1.509	16.735	9.16E-35	7.26E-33	Depleted	0.167	0.476
Azospirillum	-2.973	15.01	3.15E-34	2.36E-32	Depleted	0.046	0.365
Moraxella	-4.09	15.721	2.44E-33	1.74E-31	Depleted	0.032	0.536
Lishizhenia	-5.345	16.195	5.39E-33	3.67E-31	Depleted	0.037	1.517
Marinifilum	-3.588	13.135	9.89E-32	6.41E-30	Depleted	0.009	0.104
Insolitispirillum	-4.234	13.551	5.87E-31	3.64E-29	Depleted	0.01	0.179
Halothiobacillus	-5.703	16.288	6.82E-31	4.05E-29	Depleted	0.007	0.356
Halioglobus	-1.95	16.401	1.06E-30	5.91E-29	Depleted	0.457	1.765
Amylibacter	-5.762	17.805	1.08E-30	5.91E-29	Depleted	0.075	4.079
Flavimarina	-6.253	16.49	2.08E-30	1.10E-28	Depleted	0.013	1.004
Aquimarina	-2.335	16.054	5.04E-30	2.57E-28	Depleted	0.231	1.165
Methylotenera	-2.014	16.106	6.83E-30	3.36E-28	Depleted	0.285	1.153
Burkholderia	-4.511	13.288	2.33E-28	1.11E-26	Depleted	0.005	0.103
Hyphomonas	5.094	18.573	4.05E-28	1.86E-26	Enriched	2.536	0.074
Cellulophaga	-3.086	14.64	4.51E-28	2.01E-26	Depleted	0.02	0.171
Marinoscillum	-2.343	14.637	5.92E-28	2.56E-26	Depleted	0.048	0.244
Fodinicurvata	-2.003	15.075	1.81E-27	7.58E-26	Depleted	0.047	0.189
Zunongwangia	-3.036	14.799	9.57E-27	3.90E-25	Depleted	0.034	0.276
Tamlana	-4.045	15.156	1.31E-26	5.20E-25	Depleted	0.023	0.385
Planktomarina	-4.157	17.349	1.50E-26	5.79E-25	Depleted	0.197	3.51
Aquabacterium	-0.137	15.537	3.34E-26	1.26E-24	Depleted	0.108	0.119
Thalassococcus	-1.246	18.795	6.87E-25	2.51E-23	Depleted	1.339	3.176
