ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Gaiella	-3.434	16.624	3.61E-35	5.15E-32	Depleted	0.282	3.045
Gemmata	-2.522	14.053	2.39E-33	1.71E-30	Depleted	0.061	0.351
Pseudomonas	3.708	18.81	1.96E-32	9.34E-30	Enriched	3.263	0.25
Acinetobacter	9.069	17.86	9.66E-25	3.45E-22	Enriched	0.726	0.001
Actinoallomurus	-2.663	15.195	3.59E-23	1.03E-20	Depleted	0.089	0.564
Tepidimonas	-1.982	14.489	8.07E-23	1.92E-20	Depleted	0.125	0.494
Dactylosporangium	-2.3	12.425	2.26E-22	4.62E-20	Depleted	0.021	0.101
Actinomyces	-3.646	15.58	4.92E-22	8.12E-20	Depleted	0.026	0.328
Candidatus_Solibacter	-2.255	12.966	5.12E-22	8.12E-20	Depleted	0.034	0.161
Nocardia	5.62	18.885	1.61E-21	2.30E-19	Enriched	2.991	0.061
Gp1	-1.78	14.921	2.33E-21	3.03E-19	Depleted	0.155	0.532
Brevundimonas	4.23	16.376	1.03E-20	1.22E-18	Enriched	0.672	0.036
Denitratisoma	-4.242	15.053	1.97E-20	2.16E-18	Depleted	0.017	0.328
Conexibacter	-0.698	16.297	2.13E-20	2.18E-18	Depleted	0.337	0.547
Haliangium	-2.187	14.009	2.32E-20	2.21E-18	Depleted	0.058	0.265
Clostridium_sensu_stricto	-2.122	17.074	7.54E-20	6.72E-18	Depleted	0.571	2.484
Ralstonia	6.55	18.687	1.37E-19	1.15E-17	Enriched	2.754	0.029
Pseudolabrys	-1.196	14.489	1.56E-19	1.24E-17	Depleted	0.297	0.681
Rhodococcus	3.688	15.251	3.84E-19	2.89E-17	Enriched	0.287	0.022
Gp13	-5.372	15.92	4.43E-19	3.16E-17	Depleted	0.016	0.657
Acidisoma	-2.112	12.426	6.39E-19	4.18E-17	Depleted	0.016	0.07
Blastopirellula	-1.654	15.01	6.44E-19	4.18E-17	Depleted	0.123	0.388
