variable,estimate,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,level,ecosystem,type
denitrification,1.255506785,environment,plastisphere,143,120,5748.5,4.07E-06,1.791987179,0.732958792,Wilcoxon,two.sided,4.07E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrate_denitrification,1.17195434,environment,plastisphere,143,120,5880.5,1.12E-05,1.708981025,0.674997918,Wilcoxon,two.sided,1.12E-05,****,enriched,Freshwater,Nitrogen_metabolism
nitrate_reduction,4.015043156,environment,plastisphere,143,120,4752,4.68E-10,5.34703682,2.795022466,Wilcoxon,two.sided,4.68E-10,****,enriched,Freshwater,Nitrogen_metabolism
nitrate_respiration,2.52371636,environment,plastisphere,143,120,4972,4.32E-09,3.42899449,1.819013824,Wilcoxon,two.sided,4.32E-09,****,enriched,Freshwater,Nitrogen_metabolism
nitrite_denitrification,1.255506785,environment,plastisphere,143,120,5748.5,4.07E-06,1.791987179,0.732958792,Wilcoxon,two.sided,4.07E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrite_respiration,1.433968026,environment,plastisphere,143,120,5607,1.31E-06,1.959972289,0.875968175,Wilcoxon,two.sided,1.31E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrogen_respiration,2.647908973,environment,plastisphere,143,120,4853,1.32E-09,3.558039812,1.892997594,Wilcoxon,two.sided,1.32E-09,****,enriched,Freshwater,Nitrogen_metabolism
nitrous_oxide_denitrification,1.255506785,environment,plastisphere,143,120,5748.5,4.07E-06,1.791987179,0.732958792,Wilcoxon,two.sided,4.07E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrification,-0.091018488,environment,plastisphere,143,120,11383.5,5.03E-06,-0.049997593,-0.149980274,Wilcoxon,two.sided,5.03E-06,****,depleted,Freshwater,Nitrogen_metabolism
aliphatic_non_methane_hydrocarbon_degradation,0.009958674,environment,plastisphere,143,120,8212.5,0.55,0.052950466,-0.026987596,Wilcoxon,two.sided,0.55,ns,ns,Freshwater,Organic_matter_metabolism
aromatic_compound_degradation,1.402986595,environment,plastisphere,143,120,3470,9.10E-17,2.161963346,1.033953804,Wilcoxon,two.sided,9.10E-17,****,enriched,Freshwater,Organic_matter_metabolism
aromatic_hydrocarbon_degradation,0.036924358,environment,plastisphere,143,120,5802,6.14E-06,0.059008251,0.017988481,Wilcoxon,two.sided,6.14E-06,****,enriched,Freshwater,Organic_matter_metabolism
fermentation,2.429330606,environment,plastisphere,143,120,5985.5,2.42E-05,4.004085712,1.103991096,Wilcoxon,two.sided,2.42E-05,****,enriched,Freshwater,Organic_matter_metabolism
hydrocarbon_degradation,0.27909567,environment,plastisphere,143,120,6806.5,0.004,0.476923042,0.081027071,Wilcoxon,two.sided,0.004,**,enriched,Freshwater,Organic_matter_metabolism
ligninolysis,4.59E-05,environment,plastisphere,143,120,7906.5,0.148,5.11E-06,-3.86E-05,Wilcoxon,two.sided,0.148,ns,ns,Freshwater,Organic_matter_metabolism
oil_bioremediation,1.47E-05,environment,plastisphere,143,120,7913.5,0.11,6.50E-05,-1.23E-05,Wilcoxon,two.sided,0.11,ns,ns,Freshwater,Organic_matter_metabolism
plastic_degradation,5.418674973,environment,plastisphere,143,120,6709,0.002,9.058951355,1.889997418,Wilcoxon,two.sided,0.002,**,enriched,Freshwater,Organic_matter_metabolism2
POPs_degradation,15.00601364,environment,plastisphere,143,120,3739,3.32E-15,18.40701259,11.50894809,Wilcoxon,two.sided,3.32E-15,****,enriched,Freshwater,Organic_matter_metabolism2
denitrification,-0.041962545,environment,plastisphere,132,300,20080.5,0.815,0.337985609,-0.400036443,Wilcoxon,two.sided,0.815,ns,ns,Seawater,Nitrogen_metabolism
nitrate_denitrification,-0.041035991,environment,plastisphere,132,300,20090,0.809,0.337940905,-0.40202889,Wilcoxon,two.sided,0.809,ns,ns,Seawater,Nitrogen_metabolism
nitrate_reduction,-1.483045627,environment,plastisphere,132,300,23239.5,0.004,-0.498969868,-2.468982664,Wilcoxon,two.sided,0.004,**,depleted,Seawater,Nitrogen_metabolism
