species,type,freshwater_estimate,freshwater_plastisphere_enriched,freshwater_plastisphere_unique,seawater_estimate,seawater_plastisphere_enriched,seawater_plastisphere_unique,terrestrial_estimate,terrestrial_plastisphere_enriched,terrestrial_plastisphere_unique,freshwater_level,freshwater_environment,freshwater_plastisphere,fwe_mean,fwp_mean,fw_mean_difference,seawater_level,seawater_environment,seawater_plastisphere,swe_mean,swp_mean,sw_mean_difference,terrestrial_level,terrestrial_environment,terrestrial_plastisphere,tre_mean,trp_mean,tr_mean_difference,Start,End
Acidaminococcus.intestini,Animal,-4.20E-06,1,0,1.02E-05,0,0,-1.43E-05,0,0,enriched,1.748251748,30.54166667,0.05414234,0.94585766,0.89171532,depleted,1.954545455,4.46,0.304705215,0.695294785,0.39058957,ns,0.006756757,2.064705882,0.003261829,0.996738171,0.993476342,0,1
Acidipropionibacterium.acidipropionici,Animal,-3.54E-05,1,0,-4.17E-05,1,0,-4.26E-05,1,0,enriched,0.286713287,6.966666667,0.039528232,0.960471768,0.920943536,enriched,0.833333333,23.31666667,0.034506556,0.965493444,0.930986888,enriched,0.72972973,7.929411765,0.084272757,0.915727243,0.831454486,1,2
Acidovorax.oryzae,Animal,-30.99999744,0,0,3.17E-05,0,0,-99.99997502,1,0,ns,676.3356643,793.5833333,0.460117643,0.539882357,0.079764714,depleted,48.13636364,49.01666667,0.495469503,0.504530497,0.009060994,enriched,328.9121622,623.2941176,0.345421123,0.654578877,0.309157754,2,3
Acinetobacter.bereziniae,Animal,-8.000056129,1,0,4.95E-05,0,0,-8.57E-05,1,1,enriched,11.85314685,491.7666667,0.023535903,0.976464097,0.952928194,depleted,3.78030303,39.33,0.087689085,0.912310915,0.82462183,enriched,0,16.31764706,0,1,1,3,4
Acinetobacter.bouvetii,Animal,-6.53E-05,1,0,1.69E-05,0,0,0,0,0,enriched,7.993006993,57.38333333,0.122261463,0.877738537,0.755477074,ns,19.54545455,7.473333333,0.723402346,0.276597654,-0.446804692,ns,0,0,0,0,0,4,5
Acinetobacter.guillouiae,Animal,-7.30E-05,1,0,4.27E-05,0,0,-3.43E-05,1,0,enriched,0.132867133,4.608333333,0.028023943,0.971976057,0.943952114,ns,16.56060606,20.19666667,0.450539576,0.549460424,0.098920848,enriched,0.371621622,381.8529412,0.00097226,0.99902774,0.99805548,5,6
Acinetobacter.indicus,Animal,8.54E-05,0,0,3.94E-05,0,0,-1.73E-06,0,0,ns,3.811188811,23.46666667,0.139717318,0.860282682,0.720565364,depleted,0.227272727,0.1,0.694444444,0.305555556,-0.388888888,ns,0.074324324,2.335294118,0.030844852,0.969155148,0.938310296,6,7
Acinetobacter.johnsonii,Animal,-266.5328196,1,0,4.51E-05,0,0,-18.99991276,1,0,enriched,267.6293706,1428.841667,0.157756522,0.842243478,0.684486956,depleted,360.4545455,290.6333333,0.553618885,0.446381115,-0.10723777,enriched,0.344594595,307.4352941,0.001119614,0.998880386,0.997760772,7,8
Acinetobacter.larvae,Animal,-3.04E-06,1,0,-5.21E-05,0,0,0,0,1,enriched,0.090909091,49.64166667,0.001827959,0.998172041,0.996344082,ns,0.060606061,0.443333333,0.120264583,0.879735417,0.759470834,ns,0,0.129411765,0,1,1,8,9
Acinetobacter.nosocomialis,Animal,18.00007112,0,0,3.95E-05,0,0,5.82E-05,0,0,depleted,418.6993007,129.8666667,0.763261532,0.236738468,-0.526523064,depleted,0.765151515,2.543333333,0.231269463,0.768730537,0.537461074,ns,0.027027027,0.005882353,0.821256037,0.178743963,-0.642512074,9,10
Acinetobacter.pittii,Animal,-4.20E-05,1,0,-4.53E-05,0,0,-5.60E-07,1,0,enriched,1.055944056,9.533333333,0.099718235,0.900281765,0.80056353,ns,12.75,13.88333333,0.478723404,0.521276596,0.042553192,enriched,0.364864865,7.817647059,0.044590814,0.955409186,0.910818372,10,11
Acinetobacter.seifertii,Animal,-5.41E-06,0,0,7.78E-05,0,0,0,0,0,ns,4.615384615,40.475,0.102358511,0.897641489,0.795282978,ns,0.007575758,0.006666667,0.531914895,0.468085105,-0.06382979,ns,0,0,0,0,0,11,12
Acinetobacter.soli,Animal,2.93E-05,0,0,3.34E-05,0,0,0,1,1,ns,11.44055944,21.63333333,0.345909069,0.654090931,0.308181862,ns,0.159090909,3.106666667,0.048714856,0.951285144,0.902570288,enriched,0,28.11176471,0,1,1,12,13
Acinetobacter.tandoii,Animal,1.32E-05,0,0,4.58E-05,0,0,-3.96E-05,1,0,ns,516.1818182,426.0666667,0.547819207,0.452180793,-0.095638414,depleted,4.659090909,3.83,0.548832726,0.451167274,-0.097665452,enriched,0.027027027,2.441176471,0.010950081,0.989049919,0.978099838,13,14
Acinetobacter.ursingii,Animal,-1.37E-05,1,0,-8.26E-06,0,0,-2.27E-05,0,0,enriched,0.454545455,12.30833333,0.03561465,0.96438535,0.9287707,ns,0.560606061,4.476666667,0.111291584,0.888708416,0.777416832,ns,0.087837838,1.164705882,0.070127562,0.929872438,0.859744876,14,15
Acinetobacter.variabilis,Animal,-5.71E-05,1,0,4.06E-05,0,0,-9.72E-06,1,0,enriched,0.125874126,7.083333333,0.017460189,0.982539811,0.965079622,depleted,43.67424242,18.68666667,0.700346468,0.299653532,-0.400692936,enriched,0.189189189,16.64117647,0.011240943,0.988759057,0.977518114,15,16
Acinetobacter.venetianus,Animal,-4.65E-05,1,0,2.81E-05,0,0,0,1,1,enriched,1.72027972,72.98333333,0.023028066,0.976971934,0.953943868,depleted,26,49.04,0.346481876,0.653518124,0.307036248,enriched,0,1.288235294,0,1,1,16,17
Actinomadura.latina,Animal,-5.06E-05,1,0,0,0,1,1.999993512,0,0,enriched,0.013986014,0.533333333,0.025553663,0.974446337,0.948892674,ns,0,0.02,0,1,1,ns,51.45945946,883.6294118,0.055031624,0.944968376,0.889936752,17,18
Actinomadura.madurae,Animal,0,0,0,0,0,0,7.000024758,0,0,ns,0.055944056,0,1,0,-1,ns,0,0,0,0,0,depleted,23.4527027,510.6705882,0.043908781,0.956091219,0.912182438,18,19
Actinomadura.pelletieri,Animal,5.43E-05,0,0,4.21E-05,0,0,1074.000019,0,0,ns,0.153846154,1.55,0.090293454,0.909706546,0.819413092,ns,0.007575758,0.1,0.070422539,0.929577461,0.859154922,depleted,3119.952703,357.7588235,0.897128091,0.102871909,-0.794256182,19,20
Aerococcus.urinaeequi,Animal,-4.57E-05,0,0,-4.91E-05,0,0,0,1,1,ns,0.111888112,0.125,0.472324723,0.527675277,0.055350554,ns,1.515151515,2.943333333,0.33983552,0.66016448,0.32032896,enriched,0,1.252941176,0,1,1,20,21
Aeromonas.caviae,Animal,209.0000661,0,0,7.15E-05,0,0,-3.17E-05,1,0,depleted,1682.125874,1022.516667,0.621940182,0.378059818,-0.243880364,ns,74.54545455,54.28666667,0.578624755,0.421375245,-0.15724951,enriched,0.540540541,35.7,0.014915355,0.985084645,0.97016929,21,22
Aeromonas.encheleia,Animal,2.000030455,0,0,3.17E-05,0,0,0,1,1,depleted,45.37762238,21.85,0.674984787,0.325015213,-0.349969574,depleted,3.704545455,7.66,0.325973922,0.674026078,0.348052156,enriched,0,21.58823529,0,1,1,22,23
Aeromonas.jandaei,Animal,6.60E-05,0,0,5.000051466,0,0,0,0,0,ns,0.384615385,0.141666667,0.730816078,0.269183922,-0.461632156,depleted,15.93939394,6.493333333,0.710541957,0.289458043,-0.421083914,ns,0,0,0,0,0,23,24
Aeromonas.media,Animal,-27.29865771,0,0,6.60E-05,0,0,-4.03E-06,1,0,ns,735.5454545,2616.966667,0.219401281,0.780598719,0.561197438,depleted,21.22727273,8.796666667,0.707011577,0.292988423,-0.414023154,enriched,0.135135135,17.94705882,0.007473382,0.992526618,0.985053236,24,25
Aeromonas.salmonicida,Animal,3.63E-06,0,0,3.17E-05,0,0,0,1,1,depleted,17.58041958,38.49166667,0.313532468,0.686467532,0.372935064,depleted,0.818181818,23.49,0.033658701,0.966341299,0.932682598,enriched,0,54.43529412,0,1,1,25,26
Aeromonas.schubertii,Animal,25.0000302,0,0,5.69E-05,0,0,0,0,1,depleted,295.979021,588.225,0.334740641,0.665259359,0.330518718,depleted,1.181818182,0.19,0.861497681,0.138502319,-0.722995362,ns,0,0.088235294,0,1,1,26,27
Afipia.birgiae,Animal,-4.40E-05,0,0,-3.64E-05,0,0,96.00000685,0,0,ns,0.881118881,3.425,0.204620194,0.795379806,0.590759612,ns,0.015151515,0.166666667,0.083333332,0.916666668,0.833333336,depleted,152.6891892,39.62941176,0.793938748,0.206061252,-0.587877496,27,28
Afipia.broomeae,Animal,-26.99993801,1,0,5.49E-05,0,0,1345.00002,0,0,enriched,58.48251748,174.6416667,0.250864224,0.749135776,0.498271552,ns,3.742424242,18.99,0.164629351,0.835370649,0.670741298,depleted,3040.682432,1849.829412,0.621751369,0.378248631,-0.243502738,28,29
Afipia.clevelandensis,Animal,-5.9999799,1,0,6.10E-05,0,0,-2.70E-05,0,0,enriched,3.433566434,75.53333333,0.043481084,0.956518916,0.913037832,ns,0.787878788,5.293333333,0.129559498,0.870440502,0.740881004,ns,106.277027,97.11176471,0.522531385,0.477468615,-0.04506277,29,30
Afipia.felis,Animal,-3.00004332,1,0,-2.22E-05,1,0,-2.46E-05,0,0,enriched,2.853146853,13.01666667,0.179784523,0.820215477,0.640430954,enriched,0.916666667,17.53333333,0.04968383,0.95031617,0.90063234,ns,65.81081081,92.07058824,0.416837013,0.583162987,0.166325974,30,31
Alcaligenes.faecalis,Animal,-8.43E-05,1,0,8.18E-06,0,0,-2.01E-05,1,0,enriched,0.048951049,124.4083333,0.000393316,0.999606684,0.999213368,depleted,2.265151515,11.50333333,0.164517123,0.835482877,0.670965754,enriched,0.432432432,34.08235294,0.012528904,0.987471096,0.974942192,31,32
Alteromonas.australica,Animal,-4.67E-05,0,0,-1.55E-05,1,0,0,0,0,ns,0.041958042,0.158333333,0.209485017,0.790514983,0.581029966,enriched,7.090909091,151.5533333,0.044696921,0.955303079,0.910606158,ns,0,0,0,0,0,32,33
Alteromonas.macleodii,Animal,-2.66E-05,1,0,-41.99996389,0,0,0,0,0,enriched,9.195804196,24.70833333,0.271229557,0.728770443,0.457540886,ns,308.8181818,3653.1,0.077946633,0.922053367,0.844106734,ns,0,0,0,0,0,33,34
Alteromonas.mediterranea,Animal,-1.24E-05,1,0,-18.99996367,1,0,0,0,0,enriched,2.265734266,109.8916667,0.02020138,0.97979862,0.95959724,enriched,111.5151515,1373.766667,0.07508013,0.92491987,0.84983974,ns,0,0,0,0,0,34,35
Alteromonas.naphthalenivorans,Animal,-8.29E-06,0,0,-4.52E-05,1,0,0,0,1,ns,2.685314685,27.575,0.088740475,0.911259525,0.82251905,enriched,27.4469697,108.0666667,0.202540279,0.797459721,0.594919442,ns,0,0.029411765,0,1,1,35,36
Alysiella.crassa,Animal,1.46E-05,0,0,0,0,0,0,0,0,ns,1.706293706,2.608333333,0.395467254,0.604532746,0.209065492,ns,0,0,0,0,0,ns,0,0,0,0,0,36,37
Anaerostipes.caccae,Animal,-8.04E-05,0,0,3.53E-05,0,0,-7.90E-05,0,0,ns,2.79020979,47.45,0.055537383,0.944462617,0.888925234,ns,2.643939394,64.69333333,0.039264129,0.960735871,0.921471742,ns,5.412162162,1.647058824,0.766679804,0.233320196,-0.533359608,37,38
Arcobacter.butzleri,Animal,82.00000082,0,0,0.999962635,0,0,0,0,1,depleted,429.5944056,595.9166667,0.418907623,0.581092377,0.162184754,depleted,171.3181818,191.57,0.472096338,0.527903662,0.055807324,ns,0,0.823529412,0,1,1,38,39
Arcobacter.cryaerophilus,Animal,28.9999884,0,0,5.32E-05,0,0,-4.26E-05,0,0,depleted,328.1678322,133.625,0.710638644,0.289361356,-0.421277288,depleted,23.41666667,23.29666667,0.50128443,0.49871557,-0.00256886,ns,0.033783784,0.405882353,0.076839632,0.923160368,0.846320736,39,40
Arcobacter.skirrowii,Animal,0,1,0,0.999957378,0,0,0,0,0,enriched,0.160839161,0,1,0,-1,depleted,4.674242424,0.493333333,0.904532927,0.095467073,-0.809065854,ns,0,0,0,0,0,40,41
Aureimonas.altamirensis,Animal,-41.99997078,1,0,-11.00003009,1,0,-87.00002132,1,0,enriched,334.6923077,828.375,0.287766929,0.712233071,0.424466142,enriched,65.43939394,299.48,0.179325613,0.820674387,0.641348774,enriched,406.0743243,882.6470588,0.315098616,0.684901384,0.369802768,41,42
Azospirillum.brasilense,Animal,-23.99998539,1,0,18.00003134,0,0,-80.99996097,0,0,enriched,49.65034965,390.5333333,0.112794616,0.887205384,0.774410768,depleted,66.25757576,44.58666667,0.597753878,0.402246122,-0.195507756,ns,623.9054054,2459.147059,0.202366133,0.797633867,0.595267734,42,43
Bacillus.coagulans,Animal,-3.06E-05,1,0,2.65E-06,0,0,59.00002761,0,0,enriched,0.132867133,0.741666667,0.1519291,0.8480709,0.6961418,ns,0.575757576,0.066666667,0.896226415,0.103773585,-0.79245283,depleted,153.4324324,239.5647059,0.390416157,0.609583843,0.219167686,43,44
Bacillus.cytotoxicus,Animal,-2.27E-05,1,0,-2.94E-05,0,0,16.00003349,0,0,enriched,0.181818182,0.8,0.185185185,0.814814815,0.62962963,ns,0.03030303,0.95,0.030911901,0.969088099,0.938176198,depleted,54.10810811,19.38823529,0.736201362,0.263798638,-0.472402724,44,45
Bacillus.glycinifermentans,Animal,-4.77E-05,0,0,4.74E-05,0,0,4.999970169,0,0,ns,0.062937063,0.591666667,0.096145286,0.903854714,0.807709428,ns,0.159090909,0.066666667,0.704697985,0.295302015,-0.40939597,depleted,12.55405405,39.50588235,0.241146166,0.758853834,0.517707668,45,46
Bacillus.megaterium,Animal,-1.58E-05,1,0,-2.32E-05,0,0,356.9999659,0,0,enriched,4.559440559,207.1833333,0.021532922,0.978467078,0.956934156,ns,4.962121212,27.80666667,0.151428281,0.848571719,0.697143438,depleted,906.8445946,1047.276471,0.464067765,0.535932235,0.07186447,46,47
Bacillus.mycoides,Animal,-17.00006627,1,0,7.90E-05,0,0,60.99993318,0,0,enriched,22.42657343,158.9666667,0.123635111,0.876364889,0.752729778,ns,12.52272727,190.28,0.061748318,0.938251682,0.876503364,depleted,198.9189189,99.74705882,0.666024702,0.333975298,-0.332049404,47,48
Bacillus.paralicheniformis,Animal,-3.33E-06,1,0,-8.75E-06,1,0,3.999979289,0,0,enriched,1,12.58333333,0.073619632,0.926380368,0.852760736,enriched,1.939393939,205.14,0.009365461,0.990634539,0.981269078,ns,169.8716216,409.7529412,0.293071813,0.706928187,0.413856374,48,49
Bacillus.safensis,Animal,0,0,0,0,0,0,0,1,1,ns,0,0,0,0,0,ns,0,0,0,0,0,enriched,0,27.34117647,0,1,1,49,50
Bacteroides.caccae,Animal,-8.56E-06,1,0,3.78E-05,0,0,0,0,0,enriched,0.405594406,23.01666667,0.01731662,0.98268338,0.96536676,ns,0.196969697,0.24,0.450762829,0.549237171,0.098474342,ns,0,0,0,0,0,50,51
Bacteroides.cellulosilyticus,Animal,7.14E-05,0,0,4.50E-05,0,0,0,0,1,depleted,1.34965035,3.575,0.274060137,0.725939863,0.451879726,depleted,0.575757576,0.293333333,0.662482567,0.337517433,-0.324965134,ns,0,0.852941176,0,1,1,51,52
