sample,Carrier,Ecosystem,Plant,Animal,Zoonotic
AA2018s016,Plastisphere,Freshwater,22501,44850,25661
AA2018s017,Plastisphere,Freshwater,27056,48714,29115
AA2018s018,Plastisphere,Freshwater,23140,42726,25616
AA2018s019,Plastisphere,Freshwater,22645,45392,26276
AA2018s020,Plastisphere,Freshwater,24026,44425,25904
AA2018s021,Plastisphere,Freshwater,80095,97592,82952
AA2018s022,Plastisphere,Freshwater,80609,97834,89567
AA2018s023,Plastisphere,Freshwater,34049,50330,34451
AA2018s024,Plastisphere,Freshwater,36365,52882,36445
AA2018s025,Environment,Freshwater,66522,84659,70267
AA2018s026,Environment,Freshwater,65039,88442,66398
AA2018s027,Environment,Freshwater,60755,85523,70261
AA2018s028,Environment,Freshwater,18711,51601,13611
AA2018s029,Environment,Freshwater,20525,50762,14559
AA2018s030,Environment,Freshwater,18343,53135,12557
De2019s019,Plastisphere,Seawater,8391,13761,84515
De2019s023,Plastisphere,Seawater,43499,56607,48944
DH2018s001,Plastisphere,Seawater,26475,49163,40825
DH2018s003,Environment,Seawater,4045,55642,11597
DH2018s004,Plastisphere,Seawater,19104,42857,30894
DH2018s005,Plastisphere,Seawater,46011,69301,65121
DH2018s006,Plastisphere,Seawater,50221,74725,68887
DH2018s007,Plastisphere,Seawater,21999,70095,50083
DH2018s008,Environment,Seawater,4139,55664,9997
DH2018s010,Plastisphere,Seawater,25419,41574,35321
DH2018s012,Environment,Seawater,4223,56769,15004
DH2018s013,Plastisphere,Seawater,63950,79147,66662
DH2018s016,Plastisphere,Seawater,27956,48163,38256
DH2018s017,Environment,Seawater,8394,63448,13668
DM2018s007,Plastisphere,Seawater,8280,86901,63824
DM2018s010,Plastisphere,Seawater,19400,63984,28625
DM2018s021,Plastisphere,Seawater,17544,42499,24723
DM2018s023,Plastisphere,Seawater,14019,44580,20243
DM2018s028,Plastisphere,Seawater,9906,46524,12939
DM2018s031,Plastisphere,Seawater,1962,45058,2385
DM2018s033,Plastisphere,Seawater,31155,62420,37123
DM2018s034,Plastisphere,Seawater,7129,31488,11621
DM2018s036,Plastisphere,Seawater,12602,67598,24945
DM2018s037,Plastisphere,Seawater,23618,90693,81375
DM2018s038,Plastisphere,Seawater,40017,75879,36795
DM2018s042,Plastisphere,Seawater,33903,51932,39115
DM2018s045,Plastisphere,Seawater,10225,50991,18150
DM2018s051,Plastisphere,Seawater,7125,55909,9725
DM2018s053,Plastisphere,Seawater,22583,62645,25593
DM2018s054,Plastisphere,Seawater,27263,59020,34681
DM2018s057,Plastisphere,Seawater,10469,65516,28127
DM2018s063,Plastisphere,Seawater,25147,78462,56959
DM2018s064,Plastisphere,Seawater,30079,87136,40556
DM2018s065,Plastisphere,Seawater,42885,70745,49300
DM2018s070,Plastisphere,Seawater,3184,95697,5734
DM2018s071,Plastisphere,Seawater,50812,81010,63159
DM2018s074,Plastisphere,Seawater,8499,66924,16252
DM2018s077,Plastisphere,Seawater,65379,85261,69996
DM2018s078,Plastisphere,Seawater,21771,56547,28793
DM2018s081,Plastisphere,Seawater,24073,85265,74820
DM2018s083,Plastisphere,Seawater,47697,72918,46382
DM2018s089,Plastisphere,Seawater,29777,50142,35399
DM2018s096,Plastisphere,Seawater,6656,21393,11214
DM2018s099,Plastisphere,Seawater,35589,82955,42624
DM2018s112,Plastisphere,Seawater,41942,78189,44957
DM2018s115,Plastisphere,Seawater,18720,77577,45398
DM2018s118,Plastisphere,Seawater,21515,58489,35861
DM2018s119,Plastisphere,Seawater,27961,63050,36384
DM2018s124,Plastisphere,Seawater,17062,65362,29680
DM2018s131,Plastisphere,Seawater,14845,50911,24559
DM2018s133,Plastisphere,Seawater,28381,53021,41725
DM2018s138,Plastisphere,Seawater,16477,45998,34845
DM2018s139,Plastisphere,Seawater,28670,65853,52187
DM2018s140,Plastisphere,Seawater,19990,50306,35765
DM2018s142,Plastisphere,Seawater,20210,56252,40016
DM2018s144,Plastisphere,Seawater,45694,73382,48724
DM2018s149,Plastisphere,Seawater,67359,92577,76118
DT2015s001,Environment,Seawater,10737,65707,9117
DT2015s002,Environment,Seawater,9963,66026,8528
DT2015s003,Environment,Seawater,8578,60515,8136
DT2015s004,Environment,Seawater,8726,59633,7992
DT2015s005,Environment,Seawater,12343,67111,8340
DT2015s006,Environment,Seawater,11537,68829,7848
DT2015s007,Environment,Seawater,10255,69367,7574
DT2015s008,Environment,Seawater,10665,66704,7137
DT2015s009,Environment,Seawater,11126,64640,8390
DT2015s010,Environment,Seawater,11232,61794,8704
DT2015s011,Environment,Seawater,11587,64476,8303
DT2015s012,Environment,Seawater,12473,62562,8528
DT2015s031,Environment,Seawater,3577,32835,6193
DT2015s032,Environment,Seawater,3899,33296,6909
DT2015s033,Environment,Seawater,3065,32104,5051
DT2015s034,Environment,Seawater,3389,33550,5297
DT2015s035,Environment,Seawater,5175,29767,6022
DT2015s036,Environment,Seawater,3220,22996,3746
DT2015s037,Environment,Seawater,3298,23766,4091
DT2015s038,Environment,Seawater,3557,27367,5012
DT2015s039,Environment,Seawater,4942,38812,6022
DT2015s040,Environment,Seawater,3341,32098,5207
DT2015s041,Environment,Seawater,3140,32650,4797
DT2015s042,Environment,Seawater,4146,36580,8318
DT2015s043,Environment,Seawater,3882,29273,5183
DT2015s044,Environment,Seawater,3641,27824,4996
DT2015s045,Environment,Seawater,4151,30068,5534
DT2015s046,Environment,Seawater,5424,35830,5141
DT2015s047,Environment,Seawater,4242,30443,8085
DT2015s048,Environment,Seawater,5169,31198,7135
DT2015s049,Environment,Seawater,4932,29504,7385
DT2015s050,Environment,Seawater,4862,31008,6317
DT2015s051,Environment,Seawater,6907,43291,7462
DT2015s052,Environment,Seawater,7322,40878,7002
DT2015s053,Environment,Seawater,7192,42604,7808
DT2015s054,Environment,Seawater,5570,38241,6977
DT2015s058,Environment,Seawater,6560,37608,5295
DT2015s059,Environment,Seawater,4264,32741,5080
DT2015s060,Environment,Seawater,4617,31743,5276
DT2015s061,Environment,Seawater,4584,34664,9584
DT2015s062,Environment,Seawater,4931,34380,5273
DT2015s063,Environment,Seawater,3966,30846,5519
DT2015s064,Environment,Seawater,5073,41155,5402
DT2015s065,Environment,Seawater,4914,41656,6724
DT2015s066,Environment,Seawater,4271,40390,4570
DT2015s071,Environment,Seawater,6673,55019,8095
DT2015s072,Environment,Seawater,7027,57411,7988
DT2015s073,Environment,Seawater,7920,54643,9363
DT2015s074,Environment,Seawater,8733,55707,9707
DT2015s075,Environment,Seawater,4262,41000,6368
DT2015s076,Environment,Seawater,6336,45660,7179
DT2015s077,Environment,Seawater,5042,39255,7435
DT2015s078,Environment,Seawater,5182,36291,6676
DT2015s079,Environment,Seawater,6165,45889,8166
DT2015s080,Environment,Seawater,6819,47353,8594
DT2015s081,Environment,Seawater,4841,43062,7013
DT2015s082,Environment,Seawater,4256,38661,8319
DT2015s083,Environment,Seawater,5768,40318,7616
DT2015s084,Environment,Seawater,5848,42750,8375
DT2015s085,Environment,Seawater,6304,39361,8020
DT2015s092,Plastisphere,Seawater,14961,75143,19807
DT2015s094,Plastisphere,Seawater,7551,31849,11321
DT2015s099,Plastisphere,Seawater,10933,39144,15874
DT2015s100,Plastisphere,Seawater,4114,17671,8305
